Title,College,Color
Aerospace Engineering BS,engineering,#d72027
Bioengineering BS,engineering,#007e7f
Civil Engineering BS,engineering,#89c761
Computer Engineering BS,engineering,#4f2497
Computer Science BS,engineering,#556773
Electrical Engineering BS,engineering,#3a1570
Engineering Mechanics BS,engineering,#f0ae02
Engineering Physics BS,engineering,#75d7fa
Industrial Engineering BS,engineering,#00965e
Innovation Leadership & Engineering Entrepreneurship (ILEE) BS,engineering,#ce69a9
Materials Science & Engineering BS,engineering,#9921ab
Mechanical Engineering BS,engineering,#de6631
Nuclear Plasma & Radiological Engineering BS,engineering,#19c816
Systems Engineering & Design BS,engineering,#0c4c30